# Numerov wave function for l=5
# r  Re(psi)  Im(psi)
4.820000  0.5921614418  0.2693393053
4.840000  0.6003352573  0.2722385525
4.860000  0.6085293184  0.2751365650
4.880000  0.6167415839  0.2780326241
4.900000  0.6249699756  0.2809259969
4.920000  0.6332123788  0.2838159368
4.940000  0.6414666425  0.2867016833
4.960000  0.6497305800  0.2895824626
4.980000  0.6580019691  0.2924574873
5.000000  0.6662785527  0.2953259568
5.020000  0.6745580393  0.2981870578
5.040000  0.6828381034  0.3010399640
5.060000  0.6911163861  0.3038838365
5.080000  0.6993904955  0.3067178241
5.100000  0.7076580074  0.3095410637
5.120000  0.7159164659  0.3123526801
5.140000  0.7241633838  0.3151517867
5.160000  0.7323962436  0.3179374856
5.180000  0.7406124979  0.3207088678
5.200000  0.7488095701  0.3234650138
5.220000  0.7569848550  0.3262049934
5.240000  0.7651357200  0.3289278665
5.260000  0.7732595051  0.3316326833
5.280000  0.7813535245  0.3343184844
5.300000  0.7894150667  0.3369843015
5.320000  0.7974413958  0.3396291574
5.340000  0.8054297518  0.3422520667
5.360000  0.8133773523  0.3448520358
5.380000  0.8212813924  0.3474280637
5.400000  0.8291390464  0.3499791420
5.420000  0.8369474684  0.3525042557
5.440000  0.8447037929  0.3550023831
5.460000  0.8524051366  0.3574724966
5.480000  0.8600485985  0.3599135631
5.500000  0.8676312617  0.3623245442
5.520000  0.8751501936  0.3647043968
5.540000  0.8826024478  0.3670520735
5.560000  0.8899850643  0.3693665230
5.580000  0.8972950715  0.3716466907
5.600000  0.9045294865  0.3738915191
5.620000  0.9116853165  0.3760999480
5.640000  0.9187595602  0.3782709154
5.660000  0.9257492086  0.3804033576
5.680000  0.9326512461  0.3824962101
5.700000  0.9394626522  0.3845484075
5.720000  0.9461804022  0.3865588847
5.740000  0.9528014686  0.3885265767
5.760000  0.9593228222  0.3904504197
5.780000  0.9657414335  0.3923293510
5.800000  0.9720542739  0.3941623102
5.820000  0.9782583171  0.3959482391
5.840000  0.9843505401  0.3976860826
5.860000  0.9903279245  0.3993747890
